",""Id"",""Fuente"",""Fecha_Registro"",""Seccion"",""Titulo"",""Fecha_Dia"",""Dia""";;;;;;;
"8648,""85592"",""EMOL"",""2016-10-03 08:31:13"",""Economia"",""Petrolera BP cierra una plataforma en el Mar del Norte por un derrame de crudo ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8649,""85593"",""EMOL"",""2016-10-03 08:36:12"",""Nacional"",""Detienen a dos integrantes de banda que asalto casa en Lo Barnechea: Tienen 13 y 17 anos ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8650,""85594"",""EMOL"",""2016-10-03 08:41:04"",""Tecnologia"",""China abre las posibilidades para una colaboracion internacional en su estacion espacial ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8651,""85595"",""EMOL"",""2016-10-03 08:51:04"",""Nacional"",""Gobierno expresa disposicion para seguir acompanando proceso de paz en Colombia ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8652,""85596"",""EMOL"",""2016-10-03 08:56:04"",""Economia"",""Dolar abre con minimas perdidas ante fuerte impulso que tuvo el precio del cobre el viernes ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8653,""85597"",""DF"",""2016-10-03 09:01:04"",""Economia y Politica"",""Banco Central considero opcion de bajar tasa de interes en ultima reunion de politica monetaria"",2016-10-03,""lunes""";;;;;;;
"8654,""85598"",""EMOL"",""2016-10-03 09:11:04"",""Deportes"",""La avanzada tecnologia con la que Ecuador se prepara para vencer a Chile por Clasificatorias ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8655,""85599"",""EMOL"",""2016-10-03 09:12:06"",""Deportes"",""Las jugadas tacticas de Guede que ";borraron; a la U y le dieron su primer Superclasico ;" Emol.com"",2016-10-03,""lunes""";;;;
"8656,""85600"",""EMOL"",""2016-10-03 09:21:13"",""Tecnologia"",""Nuevo Nobel de Medicina destaca la importancia de fijarse ratos en el trabajo ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8657,""85601"",""EMOL"",""2016-10-03 09:22:15"",""Economia"",""Bonos soberanos de Colombia caen tras triunfo del ";No; al acuerdo de paz ;" Emol.com"",2016-10-03,""lunes""";;;;
"8658,""85602"",""EMOL"",""2016-10-03 09:26:04"",""Economia"",""Minutas: Opcion de bajar la tasa fue planteada en ultima reunion del Consejo del Banco Central ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8659,""85603"",""EMOL"",""2016-10-03 09:36:05"",""Espectaculos"",""La actriz britanica Rachel McAdams se suma a nueva pelicula de Sebastian Lelio ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8660,""85604"",""LA TERCERA"",""2016-10-03 09:36:22"",""mundo"",""Doble atentado suicida en Siria deja dos muertos y decenas de heridos"",2016-10-03,""lunes""";;;;;;;
"8661,""85605"",""EMOL"",""2016-10-03 09:37:07"",""Nacional"",""Cadem: 80 creen que Clinton seria mejor Presidenta de EE.UU. pensando en los intereses de Chile ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8662,""85606"",""LA TERCERA"",""2016-10-03 09:37:24"",""tendencias"",""Utilizaran realidad virtual para investigar crimenes de guerra nazis en Auschwitz"",2016-10-03,""lunes""";;;;;;;
"8663,""85607"",""LA TERCERA"",""2016-10-03 09:38:26"",""politica"",""Canciller tras triunfo del No en Colombia: 'Chile esta disponible para acompanar esta nueva etapa'"",2016-10-03,""lunes""";;;;;;;
"8664,""85608"",""LA TERCERA"",""2016-10-03 09:39:28"",""tendencias"",""Terremotos en Marte podrian haber ayudado a vida microscopica"",2016-10-03,""lunes""";;;;;;;
"8665,""85609"",""LA TERCERA"",""2016-10-03 09:40:30"",""entretencion"",""Kim Kardashian atada y encerrada durante robo en Paris: perdio millones en joyas"",2016-10-03,""lunes""";;;;;;;
"8666,""85610"",""EMOL"",""2016-10-03 09:56:05"",""Tendencias"",""Una playa en Bombay ha sido limpiada durante un ano por 1.500 personas: el cambio ha sido increible ";" Emol.com"",2016-10-03,""lunes""";;;;;;
"8667,""85611"",""LA TERCERA"",""2016-10-03 09:56:21"",""entretencion"",""Piratas del caribe 5 lanza su primer adelanto"",2016-10-03,""lunes""";;;;;;;
"8668,""85612"",""EMOL"",""2016-10-03 09:57:07"",""Nacional"",""Sujetos que balearon a guardia en asalto a supermercado de Las Condes usaron arma de fabricacion artesanal ";" Emol.com"",2016-10-03,""lunes""";;;;;;
